Order_ID,Date,Customer_ID,Gender,Age,City,Region,Store,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode,Customer_Rating,Delivery_Days
ORD100001,2024-01-01,CUST1218,Male,58,Mumbai,West,Online,Grocery,Coffee,5,371.68,0.174,1535.04,1295.35,239.69,Cash,4.7,6.0
ORD100002,2024-01-01,CUST1486,Male,24,Guntur,South,Online,Beauty,Perfume,3,1104.23,0.127,2891.98,1863.16,1028.82,UPI,3.4,2.0
ORD100003,2024-01-01,CUST1540,Male,31,Chennai,South,Store A,Home & Kitchen,Cookware Set,2,2447.67,0.006,4865.97,3286.05,1579.92,Debit Card,4.1,6.0
ORD100004,2024-01-02,CUST1130,Male,38,Vijayawada,South,Store A,Beauty,Face Wash,6,1033.56,0.231,4768.85,3075.91,1692.94,Debit Card,4.3,1.0
ORD100005,2024-01-02,CUST1066,Male,44,Chennai,South,Store D,Beauty,Lip Balm,5,782.32,0.213,3078.43,1968.67,1109.75,Cash,4.2,2.0
ORD100006,2024-01-02,CUST1144,Female,29,Vijayawada,South,Store B,Clothing,Shoes,4,883.41,0.131,3070.73,1906.4,1164.33,Debit Card,3.5,2.0
ORD100007,2024-01-03,CUST1380,Female,18,Guntur,South,Store B,Home & Kitchen,Mixer,2,4517.96,0.057,8520.87,5699.12,2821.75,Cash,2.7,5.0
ORD100008,2024-01-03,CUST1313,Male,50,Guntur,South,Store A,Home & Kitchen,Mixer,7,2203.95,0.03,14964.82,10357.43,4607.39,UPI,4.2,5.0
ORD100009,2024-01-03,CUST1407,Male,43,Visakhapatnam,South,Store D,Home & Kitchen,Cookware Set,4,3321.32,0.091,12076.32,8041.01,4035.31,UPI,3.9,5.0
ORD100010,2024-01-04,CUST1407,Male,18,Bengaluru,South,Online,Beauty,Perfume,6,1463.51,0.064,8219.07,5155.22,3063.85,Cash,3.7,5.0
ORD100011,2024-01-04,CUST1277,Female,28,Vijayawada,South,Online,Grocery,Juice,3,407.76,0.127,1067.92,924.49,143.44,Credit Card,4.4,4.0
ORD100012,2024-01-05,CUST1409,Female,52,Mumbai,West,Store D,Home & Kitchen,Cookware Set,7,2674.83,0.242,14192.65,9929.44,4263.2,Credit Card,4.0,3.0
ORD100013,2024-01-05,CUST1314,Female,51,Visakhapatnam,South,Store C,Beauty,Perfume,4,1279.18,0.144,4379.91,2785.35,1594.56,UPI,3.3,5.0
ORD100014,2024-01-05,CUST1549,Male,45,Vijayawada,South,Store A,Clothing,Jeans,2,2358.97,0.222,3670.56,2304.46,1366.1,Net Banking,2.9,1.0
ORD100015,2024-01-06,CUST1249,Male,33,Visakhapatnam,South,Store D,Grocery,Juice,7,324.6,0.163,1901.83,1667.17,234.66,Credit Card,3.4,2.0
ORD100016,2024-01-06,CUST1461,Male,36,Guntur,South,Store C,Clothing,T-Shirt,7,1724.93,0.119,10637.64,6692.06,3945.59,Cash,5.0,6.0
ORD100017,2024-01-06,CUST1399,Male,34,Chennai,South,Store D,Grocery,Rice,5,240.13,0.214,943.71,807.05,136.67,UPI,4.4,5.0
ORD100018,2024-01-07,CUST1451,Female,47,Pune,West,Store C,Beauty,Perfume,1,1062.38,0.118,937.02,587.92,349.1,Debit Card,4.1,1.0
ORD100019,2024-01-07,CUST1471,Male,25,Visakhapatnam,South,Store B,Electronics,Smartwatch,4,25239.43,0.217,79049.89,57690.67,21359.22,Debit Card,3.9,4.0
ORD100020,2024-01-07,CUST1559,Male,26,Vijayawada,South,Store A,Grocery,Snacks,1,371.81,0.073,344.67,295.01,49.66,Credit Card,3.9,1.0
ORD100021,2024-01-08,CUST1434,Male,46,Vijayawada,South,Store B,Clothing,Dress,6,1571.5,0.032,9127.27,5778.91,3348.36,Net Banking,4.6,6.0
ORD100022,2024-01-08,CUST1446,Female,35,Pune,West,Store A,Beauty,Shampoo,4,707.12,0.214,2223.19,1394.05,829.14,Credit Card,3.7,6.0
